rank	kind	normalized	sample	frequency	document_frequency	candidate_lexeme_ids	suggested_action
220	unknown-lexeme	кѡрысти	кѡры́сти	89	77		review the token against target-recension evidence and create or reject a lexical candidate
221	unknown-lexeme	оукрѣписѧ	ᲂу҆крѣпи́сѧ	88	88		review the token against target-recension evidence and create or reject a lexical candidate
222	missing-accent-or-orthographic-metadata	чиста	чи́ста	88	86	synodal:adjective:chist	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
223	unknown-lexeme	востанꙋтъ	воста́нꙋтъ	88	85		review the token against target-recension evidence and create or reject a lexical candidate
224	unknown-lexeme	іѡнаѳана	і҆ѡнаѳа́на	88	84		review the token against target-recension evidence and create or reject a lexical candidate
225	missing-accent-or-orthographic-metadata	ничесѡже	ничесѡ́же	87	87	synodal:pronoun:v06-nichtozhe	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
226	unknown-lexeme	прїидꙋ	прїидꙋ̀	87	85		review the token against target-recension evidence and create or reject a lexical candidate
227	unknown-lexeme	іꙋдеѡмъ	і҆ꙋде́ѡмъ	87	85		review the token against target-recension evidence and create or reject a lexical candidate
228	unknown-lexeme	имѣѧй	И҆мѣ́ѧй	87	83		review the token against target-recension evidence and create or reject a lexical candidate
229	unknown-lexeme	всꙋе	всꙋ́е	87	81		review the token against target-recension evidence and create or reject a lexical candidate
230	unknown-lexeme	комꙋждо	комꙋ́ждо	87	81		review the token against target-recension evidence and create or reject a lexical candidate
231	unknown-lexeme	оуспе	ᲂу҆́спе	86	86		review the token against target-recension evidence and create or reject a lexical candidate
232	unknown-lexeme	помышлєнїѧ	помышлє́нїѧ	86	86		review the token against target-recension evidence and create or reject a lexical candidate
233	unknown-lexeme	іꙋдею	і҆ꙋде́ю	86	86		review the token against target-recension evidence and create or reject a lexical candidate
234	unknown-lexeme	ѡснованїѧ	ѡ҆снова̑нїѧ	86	86		review the token against target-recension evidence and create or reject a lexical candidate
235	unknown-lexeme	плѣненїе	плѣне́нїе	86	84		review the token against target-recension evidence and create or reject a lexical candidate
236	unknown-lexeme	царєвы	царє́вы	86	84		review the token against target-recension evidence and create or reject a lexical candidate
237	unknown-lexeme	єзекіи	є҆зекі́и	86	84		review the token against target-recension evidence and create or reject a lexical candidate
238	unknown-lexeme	ѡполчисѧ	ѡ҆полчи́сѧ	86	84		review the token against target-recension evidence and create or reject a lexical candidate
239	unknown-lexeme	єгѵптѧне	є҆гѵ́птѧне	86	82		review the token against target-recension evidence and create or reject a lexical candidate
240	unknown-lexeme	предастъ	преда́стъ	86	80		review the token against target-recension evidence and create or reject a lexical candidate
241	unknown-lexeme	чл҃вѣческїй	чл҃вѣ́ческїй	86	80		review the token against target-recension evidence and create or reject a lexical candidate
242	missing-accent-or-orthographic-metadata	высота	высота̀	86	80	synodal:noun:v12-vysota	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
243	ambiguity-or-spelling-variant	проклѧтъ	про́клѧтъ	86	78	synodal:adjective:v07-2585c9e958eb4925,synodal:verb:v07-ef3884d2694cadf5	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
244	unknown-lexeme	сꙋдїи	сꙋдїи̑	85	85		review the token against target-recension evidence and create or reject a lexical candidate
245	unknown-lexeme	царевъ	царе́въ	85	83		review the token against target-recension evidence and create or reject a lexical candidate
246	unknown-lexeme	видитъ	ви́дитъ	84	84		review the token against target-recension evidence and create or reject a lexical candidate
247	unknown-lexeme	саваѡѳъ	саваѡ́ѳъ	84	84		review the token against target-recension evidence and create or reject a lexical candidate
248	unknown-lexeme	ѕвѣзды	ѕвѣ́зды	84	84		review the token against target-recension evidence and create or reject a lexical candidate
249	missing-accent-or-orthographic-metadata	инымъ	и҆ны̑мъ	84	84	synodal:pronoun:inyi	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
250	missing-accent-or-orthographic-metadata	иныхъ	и҆ны́хъ	84	83	synodal:pronoun:inyi	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
251	missing-accent-or-orthographic-metadata	возвѣщꙋ	возвѣщꙋ̀	84	82	synodal:verb:vozvestiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
252	ambiguity-or-spelling-variant	ѻный	ѻ҆́ный	84	82	synodal:pronoun:demonstrative-onyi	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
253	unknown-lexeme	єлеазаръ	є҆леаза́ръ	84	80		review the token against target-recension evidence and create or reject a lexical candidate
254	unknown-lexeme	постыдѧтсѧ	постыдѧ́тсѧ	84	78		review the token against target-recension evidence and create or reject a lexical candidate
255	unknown-lexeme	помилꙋй	поми́лꙋй	84	77		review the token against target-recension evidence and create or reject a lexical candidate
256	unknown-lexeme	снѣсте	снѣ́сте	84	76		review the token against target-recension evidence and create or reject a lexical candidate
257	unknown-lexeme	блгⷣти	блгⷣти	83	83		review the token against target-recension evidence and create or reject a lexical candidate
258	missing-accent-or-orthographic-metadata	возмите	возми́те	83	81	synodal:verb:v06-vzeti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
259	unknown-lexeme	ѡшꙋюю	ѡ҆шꙋ́юю	83	80		review the token against target-recension evidence and create or reject a lexical candidate
260	unknown-lexeme	веселїемъ	весе́лїемъ	82	82		review the token against target-recension evidence and create or reject a lexical candidate
261	unknown-lexeme	изыти	и҆зы́ти	82	82		review the token against target-recension evidence and create or reject a lexical candidate
262	unknown-lexeme	сокрꙋши	сокрꙋшѝ	82	82		review the token against target-recension evidence and create or reject a lexical candidate
263	missing-accent-or-orthographic-metadata	бо	бо̀	82	82	synodal:conjunction:wikt-b8c98d0a9447	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
264	unknown-lexeme	давідова	даві́дова	82	80		review the token against target-recension evidence and create or reject a lexical candidate
265	unknown-lexeme	повелѣнїе	повелѣ́нїе	82	80		review the token against target-recension evidence and create or reject a lexical candidate
266	unknown-lexeme	послѣди	послѣдѝ	82	79		review the token against target-recension evidence and create or reject a lexical candidate
267	unknown-lexeme	авїмелехъ	а҆вїмеле́хъ	82	78		review the token against target-recension evidence and create or reject a lexical candidate
268	ambiguity-or-spelling-variant	востѡкъ	востѡ́къ	82	78	synodal:noun:v12-vostok	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
269	unknown-lexeme	велїе	ве́лїе	81	81		review the token against target-recension evidence and create or reject a lexical candidate
270	unknown-lexeme	множае	мно́жае	81	81		review the token against target-recension evidence and create or reject a lexical candidate
271	unknown-lexeme	житїѧ	житїѧ̀	81	77		review the token against target-recension evidence and create or reject a lexical candidate
272	unknown-lexeme	мздꙋ	мздꙋ̀	81	77		review the token against target-recension evidence and create or reject a lexical candidate
273	unknown-lexeme	пїлатъ	пїла́тъ	81	76		review the token against target-recension evidence and create or reject a lexical candidate
274	unknown-lexeme	архїереє	а҆рхїере́є	81	74		review the token against target-recension evidence and create or reject a lexical candidate
275	unknown-lexeme	завѣща	завѣща̀	80	78		review the token against target-recension evidence and create or reject a lexical candidate
276	unknown-lexeme	книжницы	кни́жницы	80	78		review the token against target-recension evidence and create or reject a lexical candidate
277	unknown-lexeme	множествѣ	мно́жествѣ	80	78		review the token against target-recension evidence and create or reject a lexical candidate
278	unknown-lexeme	помощи	помощѝ	80	78		review the token against target-recension evidence and create or reject a lexical candidate
279	unknown-lexeme	пшеничны	пшени́чны	80	78		review the token against target-recension evidence and create or reject a lexical candidate
280	ambiguity-or-spelling-variant	имый	и҆мы́й	80	78	synodal:verb:imati,synodal:verb:wikt-0c6c8db63b7c	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
281	ambiguity-or-spelling-variant	сѧ	сѧ̀	80	76	synodal:pronoun:sebe,synodal:pronoun:wikt-7c6914eff782	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
282	unknown-lexeme	югꙋ	ю҆́гꙋ	80	75		review the token against target-recension evidence and create or reject a lexical candidate
283	unknown-lexeme	оуклонисѧ	ᲂу҆клони́сѧ	80	74		review the token against target-recension evidence and create or reject a lexical candidate
284	unknown-lexeme	іеровоамъ	і҆еровоа́мъ	80	74		review the token against target-recension evidence and create or reject a lexical candidate
285	unknown-lexeme	златы	зла̑ты	80	73		review the token against target-recension evidence and create or reject a lexical candidate
286	missing-accent-or-orthographic-metadata	возвѣстите	возвѣсти́те	80	71	synodal:verb:vozvestiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
287	unknown-lexeme	кожи	ко́жи	80	65		review the token against target-recension evidence and create or reject a lexical candidate
288	missing-accent-or-orthographic-metadata	плѡти	плѡ́ти	80	62	synodal:noun:v06-dd281666539ac305	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
289	unknown-lexeme	дв҃дꙋ	дв҃дꙋ	79	79		review the token against target-recension evidence and create or reject a lexical candidate
290	unknown-lexeme	персть	пе́рсть	79	79		review the token against target-recension evidence and create or reject a lexical candidate
291	unknown-lexeme	прⷭ҇нѡ	прⷭ҇нѡ	79	79		review the token against target-recension evidence and create or reject a lexical candidate
292	unknown-lexeme	іꙋдєй	і҆ꙋдє́й	79	79		review the token against target-recension evidence and create or reject a lexical candidate
293	unknown-lexeme	началницы	нача̑лницы	79	75		review the token against target-recension evidence and create or reject a lexical candidate
294	unknown-lexeme	начальницы	нача̑льницы	79	75		review the token against target-recension evidence and create or reject a lexical candidate
295	unknown-lexeme	єдиныѧ	є҆ди́ныѧ	79	72		review the token against target-recension evidence and create or reject a lexical candidate
296	unknown-lexeme	дебри	де́бри	79	71		review the token against target-recension evidence and create or reject a lexical candidate
297	unknown-lexeme	давідовѣ	даві́довѣ	78	78		review the token against target-recension evidence and create or reject a lexical candidate
298	unknown-lexeme	нечестивїи	нечести́вїи	78	78		review the token against target-recension evidence and create or reject a lexical candidate
299	unknown-lexeme	посемъ	посе́мъ	78	78		review the token against target-recension evidence and create or reject a lexical candidate
300	unknown-lexeme	єздра	є҆́здра	78	78		review the token against target-recension evidence and create or reject a lexical candidate
301	unknown-lexeme	ѱаломъ	ѱало́мъ	78	78		review the token against target-recension evidence and create or reject a lexical candidate
302	unknown-lexeme	ѿсюдꙋ	ѿсю́дꙋ	78	78		review the token against target-recension evidence and create or reject a lexical candidate
303	unknown-lexeme	лжꙋ	лжꙋ̀	78	76		review the token against target-recension evidence and create or reject a lexical candidate
304	missing-accent-or-orthographic-metadata	согрѣшихомъ	согрѣши́хомъ	78	76	synodal:verb:v12-sogreshiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
305	unknown-lexeme	воззрѣвъ	воззрѣ́въ	78	75		review the token against target-recension evidence and create or reject a lexical candidate
306	unknown-lexeme	аммѡни	а҆ммѡ̑ни	78	74		review the token against target-recension evidence and create or reject a lexical candidate
307	unknown-lexeme	тꙋне	тꙋ́не	78	74		review the token against target-recension evidence and create or reject a lexical candidate
308	missing-accent-or-orthographic-metadata	достоѧнїе	достоѧ́нїе	78	74	synodal:noun:v12-dostoyanie	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
309	unknown-lexeme	оучн҃къ	ᲂу҆чн҃къ	77	75		review the token against target-recension evidence and create or reject a lexical candidate
310	unknown-lexeme	возлїѧнїѧ	возлїѧ́нїѧ	77	73		review the token against target-recension evidence and create or reject a lexical candidate
311	unknown-lexeme	выше	вы́ше	77	73		review the token against target-recension evidence and create or reject a lexical candidate
312	unknown-lexeme	возрадꙋютсѧ	возра́дꙋютсѧ	77	71		review the token against target-recension evidence and create or reject a lexical candidate
313	unknown-lexeme	многꙋ	мно́гꙋ	76	76		review the token against target-recension evidence and create or reject a lexical candidate
314	unknown-lexeme	плѣненїѧ	плѣне́нїѧ	76	76		review the token against target-recension evidence and create or reject a lexical candidate
315	unknown-lexeme	ванеа	ване́а	76	74		review the token against target-recension evidence and create or reject a lexical candidate
316	unknown-lexeme	вѣсъ	вѣ́съ	76	74		review the token against target-recension evidence and create or reject a lexical candidate
317	unknown-lexeme	пойдемъ	по́йдемъ	76	72		review the token against target-recension evidence and create or reject a lexical candidate
318	unknown-lexeme	ст҃ымъ	ст҃ы̑мъ	76	72		review the token against target-recension evidence and create or reject a lexical candidate
319	unknown-lexeme	ꙗзвою	ꙗ҆́звою	76	72		review the token against target-recension evidence and create or reject a lexical candidate
320	missing-accent-or-orthographic-metadata	оу	ᲂу҆̀	76	72	synodal:preposition:wikt-888f1052c6db	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
321	unknown-lexeme	исперва	и҆спе́рва	76	70		review the token against target-recension evidence and create or reject a lexical candidate
322	unknown-lexeme	златыхъ	златы́хъ	76	64		review the token against target-recension evidence and create or reject a lexical candidate
323	unknown-lexeme	возглаголю	возглаго́лю	75	75		review the token against target-recension evidence and create or reject a lexical candidate
324	unknown-lexeme	погибель	поги́бель	75	73		review the token against target-recension evidence and create or reject a lexical candidate
325	unknown-lexeme	стражꙋ	стра́жꙋ	75	73		review the token against target-recension evidence and create or reject a lexical candidate
326	unknown-lexeme	ѡдержанїе	ѡ҆держа́нїе	75	71		review the token against target-recension evidence and create or reject a lexical candidate
327	unknown-lexeme	бл҃гъ	бл҃гъ	74	74		review the token against target-recension evidence and create or reject a lexical candidate
328	unknown-lexeme	царево	царе́во	74	74		review the token against target-recension evidence and create or reject a lexical candidate
329	unknown-lexeme	ѻвнѡвъ	ѻ҆внѡ́въ	74	74		review the token against target-recension evidence and create or reject a lexical candidate
330	unknown-lexeme	воззва	воззва̀	74	73		review the token against target-recension evidence and create or reject a lexical candidate
331	unknown-lexeme	давідовъ	даві́довъ	74	73		review the token against target-recension evidence and create or reject a lexical candidate
332	unknown-lexeme	оукрѣпи	ᲂу҆крѣпи́	74	72		review the token against target-recension evidence and create or reject a lexical candidate
333	unknown-lexeme	сребромъ	сребро́мъ	74	70		review the token against target-recension evidence and create or reject a lexical candidate
334	unknown-lexeme	дымъ	ды́мъ	74	68		review the token against target-recension evidence and create or reject a lexical candidate
335	unknown-lexeme	избрахъ	и҆збра́хъ	74	66		review the token against target-recension evidence and create or reject a lexical candidate
336	unknown-lexeme	подобїе	подо́бїе	74	66		review the token against target-recension evidence and create or reject a lexical candidate
337	unknown-lexeme	прїемлетъ	прїе́млетъ	74	57		review the token against target-recension evidence and create or reject a lexical candidate
338	unknown-lexeme	множествꙋ	мно́жествꙋ	73	73		review the token against target-recension evidence and create or reject a lexical candidate
339	unknown-lexeme	царємъ	царє́мъ	73	73		review the token against target-recension evidence and create or reject a lexical candidate
340	unknown-lexeme	архїерей	а҆рхїере́й	73	71		review the token against target-recension evidence and create or reject a lexical candidate
341	ambiguity-or-spelling-variant	ꙗвѣ	ꙗ҆́вѣ	73	71	synodal:adverb:v07-1d01379f954c962d,synodal:verb:wikt-6ceeefbe4e9e	review semantic identity and variant ordering; require a stable lexeme ID when ambiguity remains
342	unknown-lexeme	сꙋббѡтꙋ	сꙋббѡ́тꙋ	73	69		review the token against target-recension evidence and create or reject a lexical candidate
343	ambiguity-or-spelling-variant	оутрѡ	ᲂу҆́трѡ	73	63	synodal:noun:v07-c2d7f7cbabd89e59	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
344	unknown-lexeme	црⷭ҇тво	црⷭ҇тво	73	60		review the token against target-recension evidence and create or reject a lexical candidate
345	unknown-lexeme	восхощетъ	восхо́щетъ	72	72		review the token against target-recension evidence and create or reject a lexical candidate
346	unknown-lexeme	вселишасѧ	всели́шасѧ	72	72		review the token against target-recension evidence and create or reject a lexical candidate
347	unknown-lexeme	исполнь	и҆спо́лнь	72	72		review the token against target-recension evidence and create or reject a lexical candidate
348	unknown-lexeme	манассіина	манассі́ина	72	72		review the token against target-recension evidence and create or reject a lexical candidate
349	unknown-lexeme	іеровоама	і҆еровоа́ма	72	72		review the token against target-recension evidence and create or reject a lexical candidate
350	unknown-lexeme	ѡскꙋдѣетъ	ѡ҆скꙋдѣ́етъ	72	72		review the token against target-recension evidence and create or reject a lexical candidate
351	unknown-lexeme	ѳѷмїамъ	ѳѷмїа́мъ	72	72		review the token against target-recension evidence and create or reject a lexical candidate
352	unknown-lexeme	дрꙋгѡвъ	дрꙋгѡ́въ	72	70		review the token against target-recension evidence and create or reject a lexical candidate
353	unknown-lexeme	повелѣнїемъ	повелѣ́нїемъ	72	70		review the token against target-recension evidence and create or reject a lexical candidate
354	unknown-lexeme	ѡбитающихъ	ѡ҆бита́ющихъ	72	70		review the token against target-recension evidence and create or reject a lexical candidate
355	unknown-lexeme	пойдетъ	по́йдетъ	72	68		review the token against target-recension evidence and create or reject a lexical candidate
356	unknown-lexeme	полцѣ	полцѣ̀	72	68		review the token against target-recension evidence and create or reject a lexical candidate
357	unknown-lexeme	ѡчиститъ	ѡ҆чи́ститъ	72	66		review the token against target-recension evidence and create or reject a lexical candidate
358	unknown-lexeme	прозва	прозва̀	72	64		review the token against target-recension evidence and create or reject a lexical candidate
359	unknown-lexeme	іѡвъ	і҆́ѡвъ	72	63		review the token against target-recension evidence and create or reject a lexical candidate
360	unknown-lexeme	стѡѧла	стѡѧ́ла	72	49		review the token against target-recension evidence and create or reject a lexical candidate
361	unknown-lexeme	возмогꙋтъ	возмо́гꙋтъ	71	71		review the token against target-recension evidence and create or reject a lexical candidate
362	unknown-lexeme	снидетъ	сни́детъ	71	71		review the token against target-recension evidence and create or reject a lexical candidate
363	missing-accent-or-orthographic-metadata	возвратѧтсѧ	возвратѧ́тсѧ	71	69	synodal:verb:v07-ff04037d9da0c605	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
364	unknown-lexeme	видиши	ви́диши	70	70		review the token against target-recension evidence and create or reject a lexical candidate
365	unknown-lexeme	хеврѡнъ	хеврѡ́нъ	70	70		review the token against target-recension evidence and create or reject a lexical candidate
366	unknown-lexeme	іи҃левѣ	і҆и҃левѣ	70	70		review the token against target-recension evidence and create or reject a lexical candidate
367	unknown-lexeme	ѡбитати	ѡ҆бита́ти	70	70		review the token against target-recension evidence and create or reject a lexical candidate
368	unknown-lexeme	валаамъ	валаа́мъ	70	68		review the token against target-recension evidence and create or reject a lexical candidate
369	unknown-lexeme	оумножишасѧ	ᲂу҆мно́жишасѧ	70	68		review the token against target-recension evidence and create or reject a lexical candidate
370	unknown-lexeme	плакасѧ	пла́касѧ	70	68		review the token against target-recension evidence and create or reject a lexical candidate
371	unknown-lexeme	повѣдаша	повѣ́даша	70	68		review the token against target-recension evidence and create or reject a lexical candidate
372	unknown-lexeme	писанїѧ	писа́нїѧ	70	67		review the token against target-recension evidence and create or reject a lexical candidate
373	unknown-lexeme	жертвенникъ	же́ртвенникъ	70	66		review the token against target-recension evidence and create or reject a lexical candidate
374	unknown-lexeme	оучн҃ки	ᲂу҆чн҃кѝ	70	66		review the token against target-recension evidence and create or reject a lexical candidate
375	unknown-lexeme	премꙋдръ	премꙋ́дръ	70	66		review the token against target-recension evidence and create or reject a lexical candidate
376	unknown-lexeme	рахиль	рахи́ль	70	66		review the token against target-recension evidence and create or reject a lexical candidate
377	ambiguity-or-spelling-variant	даѧти	даѧ́ти	70	66	synodal:verb:v06-18c9a96e1e8b816e	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
378	unknown-lexeme	иноплеменникѡвъ	и҆ноплеме́нникѡвъ	69	69		review the token against target-recension evidence and create or reject a lexical candidate
379	unknown-lexeme	блгⷭ҇венїе	блгⷭ҇ве́нїе	69	67		review the token against target-recension evidence and create or reject a lexical candidate
380	unknown-lexeme	пророцы	проро́цы	69	67		review the token against target-recension evidence and create or reject a lexical candidate
381	unknown-lexeme	скотѡвъ	скотѡ́въ	69	67		review the token against target-recension evidence and create or reject a lexical candidate
382	unknown-lexeme	благовонїѧ	благово́нїѧ	68	68		review the token against target-recension evidence and create or reject a lexical candidate
383	unknown-lexeme	захарїа	заха́рїа	68	68		review the token against target-recension evidence and create or reject a lexical candidate
384	unknown-lexeme	изведохъ	и҆зведо́хъ	68	68		review the token against target-recension evidence and create or reject a lexical candidate
385	unknown-lexeme	пришлецъ	пришле́цъ	68	68		review the token against target-recension evidence and create or reject a lexical candidate
386	unknown-lexeme	созидати	созида́ти	68	68		review the token against target-recension evidence and create or reject a lexical candidate
387	unknown-lexeme	вселѧтсѧ	вселѧ́тсѧ	68	66		review the token against target-recension evidence and create or reject a lexical candidate
388	unknown-lexeme	повелѣнїю	повелѣ́нїю	68	66		review the token against target-recension evidence and create or reject a lexical candidate
389	unknown-lexeme	трꙋбами	трꙋба́ми	68	66		review the token against target-recension evidence and create or reject a lexical candidate
390	unknown-lexeme	авениръ	а҆вени́ръ	68	64		review the token against target-recension evidence and create or reject a lexical candidate
391	unknown-lexeme	солнцемъ	со́лнцемъ	68	64		review the token against target-recension evidence and create or reject a lexical candidate
392	unknown-lexeme	снѣстъ	снѣ́стъ	68	60		review the token against target-recension evidence and create or reject a lexical candidate
393	unknown-lexeme	безчестїе	безче́стїе	67	67		review the token against target-recension evidence and create or reject a lexical candidate
394	unknown-lexeme	лестїю	ле́стїю	67	67		review the token against target-recension evidence and create or reject a lexical candidate
395	unknown-lexeme	бѣхꙋ	бѣ́хꙋ	67	65		review the token against target-recension evidence and create or reject a lexical candidate
396	unknown-lexeme	воздамъ	возда́мъ	67	65		review the token against target-recension evidence and create or reject a lexical candidate
397	unknown-lexeme	стєзи	стєзѝ	67	65		review the token against target-recension evidence and create or reject a lexical candidate
398	unknown-lexeme	ѻдеждꙋ	ѻ҆де́ждꙋ	67	65		review the token against target-recension evidence and create or reject a lexical candidate
399	unknown-lexeme	ѿиметъ	ѿи́метъ	67	63		review the token against target-recension evidence and create or reject a lexical candidate
400	unknown-lexeme	сожже	сожжѐ	67	61		review the token against target-recension evidence and create or reject a lexical candidate
401	unknown-lexeme	агнцєвъ	а҆́гнцєвъ	66	66		review the token against target-recension evidence and create or reject a lexical candidate
402	unknown-lexeme	оутрїе	ᲂу҆́трїе	66	66		review the token against target-recension evidence and create or reject a lexical candidate
403	unknown-lexeme	посланїе	посла́нїе	66	66		review the token against target-recension evidence and create or reject a lexical candidate
404	unknown-lexeme	соверши	совершѝ	66	66		review the token against target-recension evidence and create or reject a lexical candidate
405	unknown-lexeme	царевꙋ	царе́вꙋ	66	66		review the token against target-recension evidence and create or reject a lexical candidate
406	unknown-lexeme	ѻтроки	ѻ҆́троки	66	66		review the token against target-recension evidence and create or reject a lexical candidate
407	missing-accent-or-orthographic-metadata	свидѣнїѧ	свидѣ̑нїѧ	66	66	synodal:noun:svidenie	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
408	ambiguity-or-spelling-variant	ѻсмый	ѻ҆смы́й	66	66	synodal:numeral:osmyi	review whether this is a permitted Synodal spelling variant, abbreviation, or distinct lexeme
409	missing-accent-or-orthographic-metadata	возвѣстити	возвѣсти́ти	66	65	synodal:verb:vozvestiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
410	unknown-lexeme	вѣкѡвъ	вѣкѡ́въ	66	64		review the token against target-recension evidence and create or reject a lexical candidate
411	unknown-lexeme	гедеѡнъ	гедеѡ́нъ	66	64		review the token against target-recension evidence and create or reject a lexical candidate
412	unknown-lexeme	непороченъ	непоро́ченъ	66	64		review the token against target-recension evidence and create or reject a lexical candidate
413	unknown-lexeme	оувѣси	ᲂу҆вѣ́си	66	64		review the token against target-recension evidence and create or reject a lexical candidate
414	unknown-lexeme	стогнахъ	сто́гнахъ	66	64		review the token against target-recension evidence and create or reject a lexical candidate
415	unknown-lexeme	трапезꙋ	трапе́зꙋ	66	64		review the token against target-recension evidence and create or reject a lexical candidate
416	unknown-lexeme	бл҃жени	бл҃же́ни	66	63		review the token against target-recension evidence and create or reject a lexical candidate
417	unknown-lexeme	начатки	нача́тки	66	62		review the token against target-recension evidence and create or reject a lexical candidate
418	unknown-lexeme	аманъ	а҆ма́нъ	66	56		review the token against target-recension evidence and create or reject a lexical candidate
419	unknown-lexeme	ближнѧгѡ	бли́жнѧгѡ	66	54		review the token against target-recension evidence and create or reject a lexical candidate
420	unknown-lexeme	ѡбыдоша	ѡ҆быдо́ша	65	65		review the token against target-recension evidence and create or reject a lexical candidate
421	missing-accent-or-orthographic-metadata	іакѡвлѧ	і҆а́кѡвлѧ	65	65	synodal:adjective:v12-iakovl	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
422	unknown-lexeme	златыѧ	златы̑ѧ	65	63		review the token against target-recension evidence and create or reject a lexical candidate
423	unknown-lexeme	нечестивый	нечести́вый	65	63		review the token against target-recension evidence and create or reject a lexical candidate
424	unknown-lexeme	сꙋббѡтный	сꙋббѡ́тный	65	59		review the token against target-recension evidence and create or reject a lexical candidate
425	unknown-lexeme	творѧщымъ	творѧ́щымъ	65	59		review the token against target-recension evidence and create or reject a lexical candidate
426	unknown-lexeme	прорцы	прорцы̀	65	55		review the token against target-recension evidence and create or reject a lexical candidate
427	unknown-lexeme	велїѧ	ве́лїѧ	64	64		review the token against target-recension evidence and create or reject a lexical candidate
428	unknown-lexeme	возвеселитсѧ	возвесели́тсѧ	64	64		review the token against target-recension evidence and create or reject a lexical candidate
429	unknown-lexeme	вчера	вчера̀	64	64		review the token against target-recension evidence and create or reject a lexical candidate
430	unknown-lexeme	оустенъ	ᲂу҆сте́нъ	64	64		review the token against target-recension evidence and create or reject a lexical candidate
431	unknown-lexeme	првⷣный	првⷣный	64	64		review the token against target-recension evidence and create or reject a lexical candidate
432	unknown-lexeme	предамъ	преда́мъ	64	64		review the token against target-recension evidence and create or reject a lexical candidate
433	unknown-lexeme	сꙋдїѧ	сꙋдїѧ̀	64	64		review the token against target-recension evidence and create or reject a lexical candidate
434	missing-accent-or-orthographic-metadata	возвѣстѧтъ	возвѣстѧ́тъ	64	64	synodal:verb:vozvestiti	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
435	missing-accent-or-orthographic-metadata	пѧтый	пѧ́тый	64	64	synodal:numeral:pyatyi	review the accent, breathing, titlo, and positional-letter evidence instead of accepting an accentless fallback
436	unknown-lexeme	валакъ	вала́къ	64	62		review the token against target-recension evidence and create or reject a lexical candidate
437	unknown-lexeme	давідѡвы	даві́дѡвы	64	62		review the token against target-recension evidence and create or reject a lexical candidate
438	unknown-lexeme	исповѣмсѧ	и҆сповѣ́мсѧ	64	62		review the token against target-recension evidence and create or reject a lexical candidate
439	unknown-lexeme	пройде	про́йде	64	62		review the token against target-recension evidence and create or reject a lexical candidate
440	unknown-lexeme	сонмꙋ	со́нмꙋ	64	62		review the token against target-recension evidence and create or reject a lexical candidate
441	unknown-lexeme	вотще	вотщѐ	64	61		review the token against target-recension evidence and create or reject a lexical candidate
442	unknown-lexeme	аврамъ	а҆вра́мъ	64	60		review the token against target-recension evidence and create or reject a lexical candidate
443	unknown-lexeme	нечиста	нечи́ста	64	59		review the token against target-recension evidence and create or reject a lexical candidate
444	unknown-lexeme	лаванъ	лава́нъ	64	58		review the token against target-recension evidence and create or reject a lexical candidate
445	unknown-lexeme	пиръ	пи́ръ	64	58		review the token against target-recension evidence and create or reject a lexical candidate
446	unknown-lexeme	помаза	пома́за	64	58		review the token against target-recension evidence and create or reject a lexical candidate
447	unknown-lexeme	ровоамъ	ровоа́мъ	64	58		review the token against target-recension evidence and create or reject a lexical candidate
448	unknown-lexeme	ѻлтарю	ѻ҆лтарю̀	64	57		review the token against target-recension evidence and create or reject a lexical candidate
449	unknown-lexeme	ахаавъ	а҆хаа́въ	64	54		review the token against target-recension evidence and create or reject a lexical candidate
450	unknown-lexeme	десницꙋ	десни́цꙋ	63	63		review the token against target-recension evidence and create or reject a lexical candidate
