rank	frequency	lemma	printed	part_of_speech	cell	gloss	semantic_candidate_id	attestation_candidate_id	passage	context	decision	review_reason
287	26	стꙋдъ	стꙋ́дъ	unknown	untyped	стыд, срам, срамное дело, 2. стыдливость, застенчивость	synodal:candidate:bc9a28d737e394e03fbc3eff	synodal:candidate:f3764fcec16e4cf4515e7415	Dan.3.33	И҆ нн҃ѣ нѣ́сть на́мъ ѿве́рзти ᲂу҆́стъ: стꙋ́дъ и҆ поноше́нїе бы́хомъ рабѡ́мъ твои̑мъ и҆ чтꙋ́щымъ тѧ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
288	26	сꙋета	сꙋета̀	unknown	untyped	хлопотливая и при этом безрезультатная деятельность	synodal:candidate:724e60bc15f2ecc28c716057	synodal:candidate:eff379e13a079ae86e2f74e0	Eccles.2.11	И҆ призрѣ́хъ а҆́зъ на всѧ̑ творє́нїѧ моѧ̑, ꙗ҆̀же сотвори́стѣ рꙋ́цѣ моѝ, и҆ на трꙋ́дъ, и҆́мже трꙋди́хсѧ твори́ти. И҆ сѐ, всѧ̑ сꙋета̀ и҆ произволе́нїе дꙋ́ха, и҆ нѣ́сть и҆з̾ѻби́лїе под̾ со́лнцемъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
289	26	толикѡ	толи́кѡ	unknown	untyped	Столько	synodal:candidate:4c162d1d814eb12a56049f5a	synodal:candidate:010c56958dc18da5fe68f029	Apoc.18.7	Є҆ли́кѡ просла́висѧ и҆ разсвирѣ́пѣ , толи́кѡ дади́те є҆́й мꙋ́къ и҆ рыда́нїй: ꙗ҆́кѡ въ се́рдцы свое́мъ глаго́летъ, (ꙗ҆́кѡ) сѣжꙋ̀ цари́цею, и҆ вдова̀ нѣ́смь, и҆ рыда́нїѧ не и҆́мамъ ви́дѣти.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
290	26	ѿвѣтъ	ѿвѣ́тъ	unknown	untyped	извещение, 2. оправдание, ответная речь на суде	synodal:candidate:17c99548961a740507811c64	synodal:candidate:47c4db6511b1b65cd789a6b5	Acts.22.1	Мꙋ́жїе бра́тїе и҆ ѻ҆тцы̀, ᲂу҆слы́шите мо́й къ ва́мъ нн҃ѣ ѿвѣ́тъ.	blocked-ambiguous-homograph	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
291	26	пещи	пе́щи	verb	lexical-form	to bake; to care; to worry	synodal:candidate:39042ae8752367a95e290d0f	synodal:candidate:31a47b8abb6c36366b1641bd	Apoc.9.2	и҆ ѿве́рзе стꙋденца̀ бе́здны, и҆ взы́де ды́мъ ѿ стꙋденца̀ ꙗ҆́кѡ ды́мъ пе́щи вели́ки, и҆ ѡ҆ме́рче со́лнце и҆ воздꙋ́хъ ѿ ды́ма стꙋдени́чнагѡ.	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
292	25	ахазъ	а҆ха́зъ	unknown	untyped	Ахаз, царь Иудейский	synodal:candidate:469f55d13184e525e8264fd6	synodal:candidate:ef94519c097480ac9c2d6dcc	II_Paral.27.9	Оу҆́спе же і҆ѡаѳа́мъ со ѻ҆тцы̑ свои́ми и҆ погребе́нъ бы́сть во гра́дѣ даві́довѣ. И҆ воцари́сѧ а҆ха́зъ сы́нъ є҆гѡ̀ вмѣ́стѡ є҆гѡ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
293	25	безꙋмїе	безꙋ́мїе	unknown	untyped	превозношение, надмение, 2) безумство, неистовство, бешенство, ярость, буйство	synodal:candidate:5fb90ef023cf03479b0107eb	synodal:candidate:c629e449ea1466b0a9f8e9c3	Deut.22.21	и҆ да и҆зведꙋ́тъ дѣви́цꙋ пред̾ врата̀ до́мꙋ ѻ҆тца̀ є҆ѧ̀, и҆ побїю́тъ ю҆̀ ка́менїемъ мꙋ́жїе гра́дстїи, и҆ да ᲂу҆́мретъ, ꙗ҆́кѡ сотворѝ безꙋ́мїе въ сынѣ́хъ і҆и҃левыхъ, ѡ҆сквернѝ до́мъ ѻ҆тца̀ своегѡ̀: и҆ и҆зми́те ѕло́е ѿ себє̀ сами́хъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
294	25	боѧтисѧ	боѧ́тисѧ	unknown	untyped	страшиться, бояться, опасаться, ужасаться, трепетать, 2. почитать, чтить, 3. благочестиво служить Богу	synodal:candidate:3b37cb71c54fafba4d85a764	synodal:candidate:182d3a233a6cdcbcbad28dfc	Deut.4.10	въ де́нь во́ньже стоѧ́сте пред̾ гдⷭ҇емъ бг҃омъ ва́шимъ въ хѡри́вѣ въ де́нь собра́нїѧ, є҆гда̀ речѐ гдⷭ҇ь ко мнѣ̀: соберѝ ко мнѣ̀ лю́ди, и҆ да слы́шатъ словеса̀ моѧ̑, да наꙋча́тсѧ боѧ́тисѧ менє̀ всѧ̑ дни̑, въ нѧ́же сі́и живꙋ́тъ на землѝ, и҆ сы́ны своѧ̑ да наꙋча́тъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
295	25	верхъ	ве́рхъ	unknown	untyped	темя, голова, макушка, 2. глава, первенствующий	synodal:candidate:36f962f25c20ea2f7e330f63	synodal:candidate:5e4a5956dbb51b53a58a2e5a	Dan.14.36	И҆ ꙗ҆́тъ є҆го̀ а҆́гг҃лъ гдⷭ҇ень за ве́рхъ є҆гѡ̀, и҆ держа̀ за власы̀ главы̀ є҆гѡ̀, и҆ поста́ви є҆го̀ въ вавѷлѡ́нѣ верхꙋ̀ рва̀ шꙋ́момъ дꙋ́ха своегѡ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
296	25	воозъ	воо́зъ	unknown	untyped	Вооз, муж Руфи, прадед царя Давида	synodal:candidate:c2d5dae988611d9da5cc68b6	synodal:candidate:5e15f197e68f333213fa1979	Ruth.2.1	И҆ бѣ̀ мꙋ́жъ зна́емый мꙋ́жꙋ ноеммі́ню: мꙋ́жъ же си́ленъ ѿ ро́да є҆лїмеле́хова, и҆́мѧ же є҆мꙋ̀ воо́зъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
297	25	лїванъ	лїва́нъ	unknown	untyped	ладан, благовонная смола	synodal:candidate:0547aa725c8e3646d0025b39	synodal:candidate:73e9bbbea792f5cfe5c378c4	Ezek.17.3	и҆ рече́ши: сїѧ̑ гл҃етъ а҆дѡнаі̀ гдⷭ҇ь: ѻ҆ре́лъ вели́кїй, великокри́лый, до́лгїй протѧже́нїемъ, и҆спо́лнь ногте́й, и҆́же и҆́мать повелѣ́нїе вни́ти въ лїва́нъ, и҆ взѧ̀ и҆збра̑нныѧ ке́дра,	blocked-ambiguous-homograph	multiple mixed-recension Ponomar dictionary identities share this headword; target identity, part of speech, and cell require contextual adjudication
298	25	негли	не́гли	unknown	untyped	Может быть, возможно	synodal:candidate:9ec622a5afd794df19f613ab	synodal:candidate:eb280828aa24d09208d2e11d	Gen.20.11	Рече́ же а҆враа́мъ: реко́хъ бо: не́гли нѣ́сть бл҃гочⷭ҇тїѧ на мѣ́стѣ се́мъ: и҆ ᲂу҆бїю́тъ мѧ̀ жены̀ ра́ди моеѧ̀:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
299	25	тожде	то́жде	unknown	untyped	также, то же	synodal:candidate:a9036f0112a8cd179be29ef3	synodal:candidate:217ae522ee6c0b70e7c26499	Eccles.1.9	Что̀ бы́ло, то́жде є҆́сть, є҆́же бꙋ́детъ: и҆ что̀ бы́ло сотворе́ное, то́жде и҆́мать сотвори́тисѧ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
300	25	халевъ	хале́въ	unknown	untyped	Халев, один из соглядатаев, посланных Моисеем	synodal:candidate:3857b7a0b91675e115a1fa38	synodal:candidate:7727e1309195f46963e95a1a	Deut.1.36	ра́звѣ хале́въ сы́нъ і҆ефонні́инъ, се́й ᲂу҆́зритъ ю҆̀, и҆ семꙋ̀ да́мъ зе́млю, на ню́же взы́де, и҆ сынѡ́мъ є҆гѡ̀, поне́же прилѣжи́тъ гдⷭ҇еви.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
301	25	ѻдръ	ѻ҆́дръ	unknown	untyped	Кровать, постель	synodal:candidate:bf2cea9ae41964e14fd23a94	synodal:candidate:14cf60f32107ffa0649690ab	Deut.3.11	ꙗ҆́кѡ то́чїю ѡ҆́гъ ца́рь васа́нскїй ѡ҆ста́сѧ ѿ рафаі́нѡвъ: сѐ, ѻ҆́дръ є҆гѡ̀ ѻ҆́дръ жєлѣ́зенъ, сѐ, то́й є҆́сть въ краегра́дїи сынѡ́въ а҆мма́новыхъ: де́вѧть лакѡ́тъ долгота̀ є҆гѡ̀ и҆ четы́ри ла́кти широта̀ є҆гѡ̀ ла́ктемъ мꙋ́жескимъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
302	24	ѡна	ѡ҆́на	pronoun	lexical-form	she	synodal:candidate:08f98d27deaeeb23b50a86a3	synodal:candidate:8233ae47623c1f15de24aa36	Acts.16.35	Дню́ же бы́вшꙋ, посла́ша воевѡ́ды па́личники, глаго́люще: ѿпꙋстѝ человѣ̑ка ѡ҆́на.	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
303	24	веѳиль	веѳи́ль	unknown	untyped	Вефиль, собственное имя для скинии	synodal:candidate:c9f6d02c02f028cf948552f6	synodal:candidate:c0b6e60b0b240ee601ade19f	Amos.5.5	а҆ не взыскꙋ́йте веѳи́лѧ и҆ въ галга́лꙋ не входи́те и҆ ко кла́дѧзю клѧ́твы не ходи́те, ꙗ҆́кѡ галга́ла плѣнѧ́ема плѣни́тсѧ, и҆ веѳи́ль бꙋ́детъ а҆́ки не бы́въ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
304	24	внꙋтрьꙋдꙋ	внꙋтрьꙋ́дꙋ	unknown	untyped	Внутри	synodal:candidate:67d85219442eea3b8f97f211	synodal:candidate:2e226482ade4174161d9e0b4	Apoc.4.8	И҆ живѡ́тна четы́ри, є҆ди́но ко́еждо и҆́хъ и҆мѣ́ѧхꙋ по ше́сть кри́лъ ѡ҆́крестъ, и҆ внꙋтрьꙋ́дꙋ и҆спо́лнєна ѻ҆че́съ: и҆ поко́ѧ не и҆́мꙋтъ де́нь и҆ но́щь, глаго́люще: ст҃ъ, ст҃ъ, ст҃ъ гдⷭ҇ь бг҃ъ вседержи́тель, и҆́же бѣ̀ и҆ сы́й и҆ грѧды́й.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
305	24	десно	де́сно	unknown	untyped	радостно, благоволительно	synodal:candidate:8e403caaf065763652ffb8c4	synodal:candidate:bf13687a162ed0ffe2425522	Deut.2.27	да пройдꙋ̀ сквозѣ̀ зе́млю твою̀: по пꙋтѝ пройдꙋ̀, не совращꙋ́сѧ ни на де́сно, ни на лѣ́во:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
306	24	наѳанъ	наѳа́нъ	unknown	untyped	Нафан	synodal:candidate:3f42cc5ae031d9519f8737a0	synodal:candidate:59761d3ff9a8c4a15883daae	III_Kings.1.11	И҆ речѐ наѳа́нъ ко вирсаві́и ма́тери соломѡ́ни, глаго́лѧ: не слы́шала ли є҆сѝ, ꙗ҆́кѡ воцари́сѧ а҆дѡ́нїа сы́нъ а҆ггі́ѳинъ, господи́нъ же на́шъ даві́дъ не вѣ́сть:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
307	24	послѣдокъ	послѣ́докъ	unknown	untyped	напоследок	synodal:candidate:9cfffe4b1deefdd606cf585b	synodal:candidate:9f896285bc19ae77036c893d	Dan.8.19	сѐ, а҆́зъ возвѣща́ю тебѣ̀ бꙋ̑дꙋщаѧ на послѣ́докъ гнѣ́ва (сынѡ́мъ люді́й твои́хъ): є҆ще́ бо до конца̀ вре́мене видѣ́нїе.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
308	24	похвала	похвала̀	unknown	untyped	честь, слава, прославление	synodal:candidate:e3689fc8a7c4156917abbb37	synodal:candidate:527a074f882eac88f123a47d	II_Cor.7.4	Мно́го мѝ дерзнове́нїе къ ва́мъ, мно́га мѝ похвала̀ ѡ҆ ва́съ: и҆спо́лнихсѧ ᲂу҆тѣ́хи, преизбы́точествꙋю ра́достїю ѡ҆ всѧ́цѣй печа́ли на́шей.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
309	24	пѣвцы	пѣвцы̀	unknown	untyped	певчие церковного причта	synodal:candidate:8f5b10bcdee7a44e50dae795	synodal:candidate:9864dc83176f361a1e02def4	II_Paral.5.12	леѵі́ти же и҆ пѣвцы̀ всѝ съ сынмѝ а҆са́фовыми, со є҆ма́номъ, і҆дїѳꙋ́момъ, и҆ съ сынмѝ и҆́хъ и҆ съ бра́тїѧми и҆́хъ, ѡ҆блече́ни въ ри̑зы льнѧ̑ны, въ кѷмва́лѣхъ и҆ ѱалти́ри и҆ гꙋ́слехъ (возглаша́хꙋ) стоѧ́ще пред̾ ѻ҆лтаре́мъ, и҆ съ ни́ми жерцє́въ сто̀ два́десѧть трꙋбѧ́ще трꙋба́ми:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
310	24	роса	роса̀	unknown	untyped	роса, влага, вода	synodal:candidate:bbed1179df086f41ff4f1313	synodal:candidate:b78bcc7402fcc662b40ccee4	Deut.32.2	да ча́етсѧ ꙗ҆́кѡ до́ждь вѣща́нїе моѐ, и҆ да сни́дꙋтъ ꙗ҆́кѡ роса̀ глаго́ли моѝ, ꙗ҆́кѡ тꙋ́ча на тро́скотъ и҆ ꙗ҆́кѡ и҆́ней на сѣ́но:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
311	24	сильный	си́льный	unknown	untyped	могущественный, всевластный, 2. влиятельный, знатный, 3. Всемогущий (о Боге)	synodal:candidate:49075689921b5da4b819d084	synodal:candidate:09f9c8f70bf2d85c57c274df	Deut.3.18	И҆ повелѣ́хъ ва́мъ во вре́мѧ ѻ҆́но, глаго́лѧ: гдⷭ҇ь бг҃ъ ва́шъ дадѐ ва́мъ зе́млю сїю̀ во жре́бїй: воѡрꙋже́ни поиди́те пред̾ лице́мъ бра́тїи ва́шеѧ сынѡ́въ і҆и҃левыхъ, всѧ́къ си́льный:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
312	24	слꙋхъ	слꙋ́хъ	unknown	untyped	слух (одно из пяти чувств), 2. слышание, услышанное, 3. слово, весть, 4. известие, молва	synodal:candidate:e248f83947fd486f41a85159	synodal:candidate:91b99f3aad0125d9c883c396	Habak.3.1	Моли́тва а҆ввакꙋ́ма прⷪ҇ро́ка съ пѣ́снїю. Гдⷭ҇и, ᲂу҆слы́шахъ слꙋ́хъ тво́й и҆ ᲂу҆боѧ́хсѧ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
313	24	соблазнъ	собла́знъ	unknown	untyped	соблазн, претыкание, 2. ересь	synodal:candidate:d647eb544ed0edc98e12751f	synodal:candidate:0c8dcf9eb980bb434977ed84	Apoc.2.14	Но и҆́мамъ на тѧ̀ ма́лѡ, ꙗ҆́кѡ и҆́маши тꙋ̀ держа́щихъ ᲂу҆че́нїе валаа́мово, и҆́же ᲂу҆ча́ше вала́ка положи́ти собла́знъ пред̾ сынмѝ і҆и҃левыми, ꙗ҆́сти жє́ртвы і҆́дѡльскїѧ и҆ любы̀ твори́ти.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
314	24	соглѧданїе	соглѧ́данїе	unknown	untyped	подсматривание, выведывание, 2. общее число, итог	synodal:candidate:074306653e86a89b6a4cdabe	synodal:candidate:a205d5145cbaa6aa48f0076c	Num.1.21	соглѧ́данїе и҆́хъ ѿ пле́мене рꙋви́млѧ четы́редесѧть ше́сть ты́сѧщъ и҆ пѧ́ть сѡ́тъ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
315	24	стѧжанїе	стѧжа́нїе	unknown	untyped	Приобретение, богатство, имущество	synodal:candidate:fb1391e84ebae2598f91e6bb	synodal:candidate:29ee2b9c792144b01d84dde0	Eccles.2.7	притѧжа́хъ рабы̑ и҆ рабы̑ни, и҆ домоча́дцы бы́ша мѝ: и҆ стѧжа́нїе скота̀, и҆ ста́дъ мно́го мѝ бы́сть, па́че всѣ́хъ бы́вшихъ пре́жде менє̀ во і҆ерⷭ҇ли́мѣ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
316	24	іꙋдейскїй	і҆ꙋде́йскїй	unknown	untyped	иудейский, иудеям свойственный	synodal:candidate:06a9ba95b08d9fe301a84ab0	synodal:candidate:183d1617df0790d0c2e3e6bb	Acts.17.10	Бра́тїѧ же а҆́бїе въ нощѝ ѿсла́ша па́ѵла и҆ сі́лꙋ въ бе́рїю: и҆̀же пришє́дша, и҆до́ста въ собо́ръ і҆ꙋде́йскїй.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
317	24	ѡполченїе	ѡ҆полче́нїе	unknown	untyped	боевой строй, 2. военное искусство	synodal:candidate:b58a8f7f3435f81ed917a65a	synodal:candidate:f9236eab71075d535137e5de	II_Esdra.2.23	и҆ і҆ꙋде́є ѿстꙋ̑пницы, и҆ ѡ҆полче́нїе сотворѧ́юще въ не́мъ ѿ вѣ́ка, є҆ѧ́же ра́ди вины̀ и҆ гра́дъ то́й ѡ҆пꙋстоше́нъ бы́сть:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
318	23	данъ	да́нъ	adjective	lexical-form	given	synodal:candidate:3ef2283960f6623cd8be53bb	synodal:candidate:814fd611a7300cb01bfe3595	Apoc.6.2	И҆ ви́дѣхъ, и҆ сѐ, ко́нь бѣ́лъ, и҆ сѣдѧ́й на не́мъ и҆мѣ́ѧше лꙋ́къ, и҆ да́нъ бы́сть є҆мꙋ̀ вѣне́цъ: и҆ и҆зы́де побѣжда́ѧй, и҆ да побѣди́тъ.	blocked-ambiguous-homograph	surface belongs to multiple OCS lexeme paradigms; target identity must be resolved manually
319	23	благословенїе	благослове́нїе	unknown	untyped	благословение, благотворение, изобилие, благодеяние, позволение от священнослужителя	synodal:candidate:0cb1fb841b147546f760642b	synodal:candidate:1220bed13839e2509178a746	Deut.11.29	И҆ бꙋ́детъ є҆гда̀ введе́тъ тебѐ гдⷭ҇ь бг҃ъ тво́й въ зе́млю, въ ню́же прехо́диши та́мѡ наслѣ́дити ю҆̀, да да́си благослове́нїе на горѣ̀ гарїзі́нъ и҆ клѧ́твꙋ на горѣ̀ гева́лъ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
320	23	бренїе	бре́нїе	unknown	untyped	глина, грязь, пыль, прах	synodal:candidate:6460e7e21b0c7afee9de97df	synodal:candidate:6ab2dd448e6e5cea802da44e	Isa.41.25	А҆́зъ же возста́вихъ, и҆̀же ѿ сѣ́вера и҆ и҆̀же ѿ востѡ́къ со́лнечныхъ, прозовꙋ́тсѧ и҆́менемъ мои́мъ: да прїи́дꙋтъ кнѧ̑зи, и҆ ꙗ҆́кѡ бре́нїе скꙋде́льника и҆ ꙗ҆́кѡ скꙋде́льникъ то́пчꙋщь бре́нїе, та́кѡ попра́ни бꙋ́дете.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
321	23	весьма	весьма̀	unknown	untyped	отнюдь, даже, вовсе, совсем	synodal:candidate:76bff78b228304947cd1aaa8	synodal:candidate:b5e8946b055abfcff437beed	Ezek.20.9	И҆ сотвори́хъ, ꙗ҆́кѡ да и҆́мѧ моѐ весьма̀ не ѡ҆скверни́тсѧ пред̾ ꙗ҆зы̑ки, въ ни́хже сꙋ́ть ті́и средѣ̀ и҆́хъ, въ ни́хже позна́нъ бы́хъ и҆̀мъ пред̾ лице́мъ и҆́хъ, є҆́же и҆звестѝ ѧ҆̀ и҆з̾ землѝ є҆гѵ́петскїѧ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
322	23	взаимъ	взаи́мъ	unknown	untyped	соответственно, соответственное	synodal:candidate:ead8fbf4507542700438c5d6	synodal:candidate:dc35874e65ff191cf784100d	Deut.15.10	даѧ́нїемъ да да́си є҆мꙋ̀, и҆ взаи́мъ да да́си є҆мꙋ̀, є҆ли́кѡ воспро́ситъ, ꙗ҆́коже тре́бꙋетъ: и҆ не ѡ҆печа́лисѧ въ се́рдцы свое́мъ, даю́щꙋ тѝ є҆мꙋ̀, ꙗ҆́кѡ сегѡ̀ ра́ди сло́ва блгⷭ҇ви́тъ тѧ̀ гдⷭ҇ь бг҃ъ тво́й во всѣ́хъ дѣ́лѣхъ твои́хъ, и҆ во все́мъ, на не́же возложи́ши рꙋ́кꙋ твою̀:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
323	23	внѣꙋдꙋ	внѣꙋ́дꙋ	unknown	untyped	Вне, снаружи	synodal:candidate:48327ff8c6fe61021d963f23	synodal:candidate:f771fe268f3cdbf08dc93281	Apoc.5.1	И҆ ви́дѣхъ въ десни́цѣ сѣдѧ́щагѡ на прⷭ҇то́лѣ кни́гꙋ напи́санꙋ внꙋтрьꙋ́дꙋ и҆ внѣꙋ́дꙋ, запеча́танꙋ седмїю̀ печа̑тїю.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
324	23	возлїѧнїе	возлїѧ́нїе	unknown	untyped	возлияние (вид ветхозаветной жертвы)	synodal:candidate:332a75e9714a6d001b9fc324	synodal:candidate:7a937fe573f2207142433954	Dan.9.27	И҆ ᲂу҆тверди́тъ завѣ́тъ мнѡ́зѣмъ седми́на є҆ди́на: въ по́лъ же седми́ны ѿи́метсѧ же́ртва и҆ возлїѧ́нїе, и҆ во свѧти́лищи ме́рзость запꙋстѣ́нїѧ бꙋ́детъ, и҆ да́же до сконча́нїѧ вре́мене сконча́нїе да́стсѧ на ѡ҆пꙋстѣ́нїе.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
325	23	дверь	две́рь	unknown	untyped	дверь	synodal:candidate:f1dc0e3c23227f04bbc1170e	synodal:candidate:f7e4db60bc8d3ade3499df98	Acts.15.4	Прише́дше же во і҆ерⷭ҇ли́мъ, прїѧ́ти бы́ша ѿ цр҃кве и҆ а҆пⷭ҇лъ и҆ ста́рєцъ, сказа́ша же, є҆ли̑ка сотворѝ бг҃ъ съ ни́ми и҆ ꙗ҆́кѡ ѿве́рзе ꙗ҆зы́кѡмъ две́рь вѣ́ры.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
326	23	земстїи	зе́мстїи	unknown	untyped	земные	synodal:candidate:a7bef7cc37e9d0360ef9aef4	synodal:candidate:45cd1d337c4ff1a49b88b98a	Acts.4.26	предста́ша ца́рїе зе́мстїи, и҆ кнѧ̑зи собра́шасѧ вкꙋ́пѣ на гдⷭ҇а и҆ на хрⷭ҇та̀ є҆гѡ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
327	23	мꙋжескїй	мꙋ́жескїй	unknown	untyped	свойственный мужу или мужчине	synodal:candidate:058e0900e78e17a4c60c1e80	synodal:candidate:9c95125b0ed4b4efd3abccc2	Ex.1.16	и҆ речѐ (и҆̀мъ): є҆гда̀ ба́бите є҆вре́анынѧмъ, и҆ сꙋ́ть къ рожде́нїю, а҆́ще ᲂу҆́бѡ мꙋ́жескїй по́лъ бꙋ́детъ, ᲂу҆бива́йте є҆го̀: а҆́ще же же́нскїй, снабдѣва́йте є҆го̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
328	23	паденїе	паде́нїе	unknown	untyped	падаль, павшее тело, труп, 2. падение	synodal:candidate:2d7324b8dd5ecf0df871a333	synodal:candidate:183b5d46d55709ddf4964b3a	Ezek.39.16	И҆́бо и҆́мѧ мѣ́стꙋ (прозове́тсѧ) паде́нїе многопогреба́тельное: и҆ ѡ҆чи́ститсѧ землѧ̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
329	23	подобно	подо́бно	unknown	untyped	прилично, надлежит	synodal:candidate:b91ceb2c2289d11571d97c1b	synodal:candidate:6de5361e61b6633bb41411c4	Apoc.4.6	и҆ пред̾ прⷭ҇то́ломъ мо́ре стклѧ́но, подо́бно крѷста́ллꙋ: и҆ посредѣ̀ прⷭ҇то́ла и҆ ѡ҆́крестъ прⷭ҇то́ла четы́ри живѡ́тна и҆спо́лнєна ѻ҆че́съ спредѝ и҆ созадѝ.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
330	23	предати	преда́ти	unknown	untyped	вручить, передать, отдать навсегда, 2. позволить, 3. предать, совершить предательство	synodal:candidate:ecf146afc820f4f776611998	synodal:candidate:b7f3e8f0b387ca6cf6ac5bda	Deut.1.27	и҆ возропта́сте въ кꙋ́щахъ свои́хъ и҆ реко́сте: не́нависти ра́ди и҆зведѐ ны̀ гдⷭ҇ь и҆з̾ землѝ є҆гѵ́петскїѧ преда́ти на́съ въ рꙋ́ки а҆моррє́йскїѧ, потреби́ти на́съ:	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
331	23	седмижды	седми́жды	unknown	untyped	семь раз, семикратно	synodal:candidate:76ea87b1896d401fb5819e23	synodal:candidate:f15cb081e0ea496ff71c1301	Gen.4.15	И҆ речѐ є҆мꙋ̀ гдⷭ҇ь бг҃ъ: не та́кѡ: всѧ́къ ᲂу҆би́вый ка́їна седми́жды ѿмсти́тсѧ. И҆ положѝ гдⷭ҇ь бг҃ъ зна́менїе на ка́їнѣ, є҆́же не ᲂу҆би́ти є҆гѡ̀ всѧ́комꙋ ѡ҆брѣта́ющемꙋ є҆го̀.	candidate-unreviewed	mixed-recension Ponomar headword and meaning match a target source-partition form; part of speech, target identity, and exact cell require human confirmation
