category	subtype	rule_id	target_recension	status	valid_cells	invalid_cells	required_metadata	alternations	accent_contract	source	citation	golden	boundary	implementation	test	failure
verb	imperfect-yah	SYN-VERB-IMPERFECT-YAH-ALYPY-87	synodal-russian	productive	3 persons × singular/dual/plural	perfective aspect; irregular formation	aspect; independent imperfect stem; Yah formation	independent past stem	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§87	несѧхъ	missing imperfect stem	core/morphology.rs	rejects_perfective_imperfect	MissingPrincipalPart
verb	imperfect-ah	SYN-VERB-IMPERFECT-AH-ALYPY-87	synodal-russian	productive	3 persons × singular/dual/plural	perfective aspect; irregular formation	aspect; independent imperfect stem; Ah formation	independent past stem	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§87	дѣлахъ	missing imperfect stem	core/morphology.rs	rejects_perfective_imperfect	MissingPrincipalPart
verb	imperative	SYN-VERB-IMPERATIVE-ALYPY-93	synodal-russian	productive	6 cells: 2sg/3sg, 1du/2du, and 1pl/2pl	1sg; 3du; 3pl	independent imperative stem; typed formation	FirstUnpalatalized or ISeries endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§93	неси	invalid person/number	core/morphology.rs	productive_rule_inventory_contracts_are_complete	HistoricallyInvalidCell
verb	infinitive	SYN-VERB-INFINITIVE-LEXICAL	synodal-russian	productive-lexical	infinitive	other cells	validated lexical infinitive lemma	none	reusable paradigm or exact accent required for liturgical	lexical metadata	validated Synodal lemma	нести	invalid Unicode	core/morphology.rs	hostile Unicode tests	InvalidUnicode
verb	l-participle	SYN-VERB-LPART-ALYPY-97	synodal-russian	productive	gender × singular/dual/plural	none	independent l-participle stem	gender/number endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§97	неслъ	missing independent stem	core/morphology.rs	declines_independently_specified_participle_stems	MissingPrincipalPart
participle	present-active-long	SYN-VERB-PARTICIPLE-PRESENT-ACTIVE-ALYPY-95	synodal-russian	productive	72 canonical long-adjective cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	perfective aspect; non-positive comparison	aspect; independent present-active long stem; class	long adjective endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§95	несꙋщій	perfective present participle	core/morphology.rs	declined_participle_paradigm_uses_reviewed_principal_parts; productive_rule_inventory_contracts_are_complete	HistoricallyInvalidCell
participle	past-active-long	SYN-VERB-PARTICIPLE-PAST-ACTIVE-ALYPY-96	synodal-russian	productive	72 canonical long-adjective cells: 3 genders × 3 numbers × 7 cases, plus alternate-animacy accusatives	non-positive comparison	independent past-active long stem; class	long adjective endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§96	несшій	missing independent stem	core/morphology.rs	declines_independently_specified_participle_stems; productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
participle	present-passive-short-and-long	SYN-VERB-PARTICIPLE-PRESENT-PASSIVE-ALYPY-99	synodal-russian	productive	144 cells: 72 short plus 72 long canonical adjective cells	perfective aspect; non-positive comparison	independent short and/or long stem; class	short/long adjective endings	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§99	несомъ / несомый	missing requested stem	core/morphology.rs	declines_independently_specified_participle_stems; productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
participle	past-passive-short-and-long	SYN-VERB-PARTICIPLE-PAST-PASSIVE-ALYPY-100	synodal-russian	productive	144 cells: 72 short plus 72 long canonical adjective cells	non-positive comparison	independent short and/or long stem; class	short н versus long нн retained explicitly	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§100	несенъ / несенный	missing requested stem	core/morphology.rs	declines_independently_specified_participle_stems; productive_rule_inventory_contracts_are_complete	MissingPrincipalPart
participle	present-active-short	SYN-VERB-PARTICIPLE-PRESENT-ACTIVE-SHORT-ALYPY-95-98	synodal-russian	productive	63 canonical cells; singular/dual/plural; six cases; accusative animacy	vocative; perfective aspect; non-positive comparison	independent short stem; PresentFirstUnpalatalized/PresentFirstPalatalized/PresentSecond/PresentAfterSibilant formation; aspect	§95 citation edges plus §98 declension; ordered variants	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§95 formation and §98 complete declension	несꙋщ → несый / несꙋщь	vocative; mismatched formation	core/morphology.rs	alpy_98_complete_short_active_participle_goldens; active_participle_citation_formation_seams	HistoricallyInvalidCell / ContradictoryMetadata
participle	past-active-short	SYN-VERB-PARTICIPLE-PAST-ACTIVE-SHORT-ALYPY-96-98	synodal-russian	productive	63 canonical cells; singular/dual/plural; six cases; accusative animacy	vocative; non-positive comparison	independent short stem; PastConsonant/PastVowel/PastIotated formation	§96 citation edges plus §98 declension; ordered variants	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§96 formation and §98 complete declension	несш → несъ / несшъ	vocative; mismatched formation	core/morphology.rs	alpy_98_complete_short_active_participle_goldens	HistoricallyInvalidCell / ContradictoryMetadata
verb	simple-future	SYN-VERB-FUTURE-EXACT	synodal-russian	exact-only	reviewed exact table cells	unreviewed cells	stable lexeme identity	suppletive/irregular by lexeme	exact printed table	Alypy Gamanovich grammar	lexeme-specific sections	быти → бꙋдетъ	unregistered future	facade/resolver.rs	byti_future_is_an_exact_normative_table	UnsupportedCell
verb	finite-past-underspecified	SYN-VERB-PAST-AUDIT-ALYPY-86-87	synodal-russian	closed-source-normalization-audit	caller-supplied exact source tags	target-registry past cells	explicit source tag	none	exact caller-supplied form	exhaustive historical decision ledger	Alypy §§86–87; Pletneva–Kravetsky lessons 5–6	no bundled target cells	any productive request	facade/resolver.rs	finite_past_audit_is_exhaustive_locked_and_leaves_no_past_cells	UnsupportedCell
verb	supine	SYN-VERB-SUPINE-ABSENT-ALYPY-143	synodal-russian	absent-from-recension	caller provider-exact or irregular compatibility cell only	all productive, exact-registry, and held-out target cells	explicit caller cell for external source interoperability	none; never import OCS -тъ/-щь	caller exact presentation only	Alypy Gamanovich grammar; Pletneva–Kravetsky; Izotov	Alypy §143.7–8 n.1; Pletneva–Kravetsky lesson 6 §II; Izotov p. 73	none in target recension	motion-purpose infinitive replaces ancient supine	core/morphology.rs; facade/handles.rs; facade/kernel.rs; facade/provider.rs; facade/resolver.rs; extractor/lib.rs	capabilities_report_actual_supported_systems; absent_supine_and_productive_verbal_noun_are_distinguished; exact_provider_supine_precedes_the_absent_target_category; target_registry_rejects_the_historically_merged_supine_category	HistoricallyInvalidCell
verb	verbal-noun-ie	SYN-VERB-VERBAL-NOUN-IE-ALYPY-27	synodal-russian	productive	7 cases × singular/dual/plural × animate/inanimate	missing platform or lexical number restriction	complete past-passive short platform	append -ї- and reuse the FirstSoftNeuterIe noun paradigm	explicit accent required for direct liturgical output	Alypy Gamanovich grammar	§27 formation and §34 declension	моленїе	missing platform	core/morphology.rs	verbal_noun_ie_has_the_complete_alypy_27_34_paradigm	MissingPrincipalPart
verb	verbal-noun-lexical	SYN-VERB-VERBAL-NOUN-LEXICAL-ALYPY-27	synodal-russian	productive-typed	all noun cells licensed by explicit number inventory	unrestricted suffix selection or excluded number	complete derived noun lemma; stem; declension; gender; number inventory	ordinary typed noun alternations only	explicit accent required for direct liturgical output	Alypy Gamanovich grammar	§27 lexical suffix families and §§34–44 noun declension	молитва	no complete derived noun	core/morphology.rs	verbal_noun_keeps_lexical_suffix_choice_explicit	MissingPrincipalPart
provider	injectable-lexicon	SYN-LEXICON-PROVIDER-V10	synodal-russian	productive-api	built-in or application supplied noun/adjective/verb identities and typed cells	duplicate stable identities; conflicting identity/spec metadata	stable ID; part of speech; source ID; LexemeSpec; optional ordered exact forms	exact provider cells → irregular specification cells → shared productive kernel	explicit provider accent paradigm or exact liturgical form required for liturgical	v0.10 resolver design	provider contract	in-memory unregistered пꙋтникъ	duplicate IDs fail closed; homographs remain ambiguous	facade/provider.rs	provider_exact_irregular_productive_precedence_is_stable; composition_rejects_duplicate_identity_and_keeps_homographs_ambiguous	ProviderConflict / AmbiguousLexeme
api	ordered-batch	SYN-BATCH-V10	synodal-russian	productive-api	one retained outcome per ordered request	none beyond each underlying request	lemma or stable ID; typed GrammarCell	input and form-variant order retained; no failure collapse	inherits each request's accent contract	v0.10 API design	batch result contract	mixed successful and unknown-lemma requests	per-row ErrorCode filtering	facade/provider.rs	batch_retains_order_failures_and_error_codes	underlying typed ErrorCode
evaluation	linguistic-contracts	SYN-EVAL-LINGUISTIC-V10	synodal-russian	deterministic-evaluation	12 small source-linked noun/verb contracts	fixture schema or behavioral mismatch	stable identity; typed cell; ordered expectation; expected source/error	frequency-independent pass/fail by linguistic contract	explicitly tested where contract requires or rejects accent	Alypy Gamanovich grammar and v0.10 design	data/synodal/linguistic_evaluation.tsv	new noun families and productive verb systems	number restrictions; exact/irregular/productive; absent and missing metadata	facade/tests/linguistic_evaluation.rs	curated_linguistic_contracts_pass_without_frequency_weighting	fixture-declared stable ErrorCode
pronoun	closed-suppletive-regular-and-composed	SYN-PRONOUN-ALYPY-45-48	synodal-russian	productive-complete	every lexically licensed personal/reflexive/agreement case × number × gender × person × animacy cell	vocatives; reflexive nominative; incompatible number/gender/person/environment/prefix/postpositive	stable identity; typed declension; explicit regular stem; lexical profile; conditioned composition	closed suppletion; pronominal endings; velar and і/ї alternation; н-allomorphy; clitics; prefixes and postpositives	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§§45–48 and §57 full-adjective endings	азъ / онъ / мой / иже / никто́же	invalid lexical dimensions and missing accents fail typed	core/pronoun.rs; facade/spec.rs; facade/resolver.rs; facade/phrases.rs	productive_pronominal_tables_match_every_reviewed_exact_cell; every_productive_pronoun_identity_realizes_every_licensed_analysis_cell	HistoricallyInvalidCell / ContradictoryMetadata / OrthographicMetadataRequired
determiner	pronominal-hard	SYN-DETERMINER-HARD-ALYPY-45-48	synodal-russian	productive	short and long case × singular/dual/plural × gender × animacy	comparison degrees	explicit stem; PronominalHard class	short pronominal obliques versus full hard-adjective endings	exact accent or reusable paradigm required for liturgical	Alypy Gamanovich grammar	§§45 and 48	самъ / самый	ordinary short-adjective obliques are not substituted	core/determiner.rs; facade/resolver.rs	sam_and_full_sk_have_distinct_short_and_long_behavior; productive_determiner_background_contains_every_reviewed_exact_surface	HistoricallyInvalidCell / OrthographicMetadataRequired
determiner	ves-mixed	SYN-DETERMINER-VES-MIXED-ALYPY-45-48	synodal-russian	productive-closed	short singular/plural case × gender × animacy	all dual; all long; comparison degrees	reviewed весь identity; вс stem; VesMixed class	mixed hard/soft endings; ordered всего/всегѡ	exact accent or reusable paradigm required for liturgical	Alypy Gamanovich grammar	§§45 and 48.7	весь / всѧ / все / всѣми	no inferred dual or long paradigm	core/determiner.rs; facade/resolver.rs	mixed_determiners_cover_source_diagnostic_cells; invalid_forms_and_numbers_fail_typed	HistoricallyInvalidCell / OrthographicMetadataRequired
determiner	vsyak-mixed	SYN-DETERMINER-VSYAK-MIXED-ALYPY-45-48-57	synodal-russian	productive-closed	short and long singular/plural case × gender × animacy	all dual; comparison degrees	final-к stem; VsyakMixed class	к/ц alternation; -аго/-агѡ; -їй/-їѧ diaeresis	fixed first-stem-vowel acute paradigm	Alypy Gamanovich grammar	§§45, 48, and 57	всѧкъ / всѧцѣй / всѧкїй / всѧкїѧ	no inferred dual	core/determiner.rs; facade/resolver.rs	exhaustive_inventory_is_total_over_licensed_cells; determiner_liturgical_output_uses_reviewed_accent_or_fails_typed	HistoricallyInvalidCell / ContradictoryMetadata
determiner	full-sk	SYN-DETERMINER-FULL-SK-ALYPY-45-57	synodal-russian	productive-closed	long case × singular/dual/plural × gender × animacy	all short; comparison degrees	final--ск stem; FullSk class	-ск- → -ст- before ѣ-initial endings	fixed first-stem-vowel acute paradigm	Alypy Gamanovich grammar	§§45 and 57	всѧческїй / всѧчестѣмъ	no automatic -ск- alternation outside typed class	core/determiner.rs; facade/resolver.rs	sam_and_full_sk_have_distinct_short_and_long_behavior; determiner_liturgical_output_uses_reviewed_accent_or_fails_typed	HistoricallyInvalidCell / ContradictoryMetadata
numeral	cardinal-and-collective	SYN-NUMERAL-EXACT	synodal-russian	exact-only	reviewed exact table cells	absent table cells	stable lexeme identity	closed lexical classes	exact printed table	Alypy Gamanovich grammar	§§45–52	dва / тріе	missing exact cell	facade/resolver.rs	exact_registries_respect_animacy_and_any_gender_numerals	UnsupportedCell
numeral	ordinal	SYN-NUMERAL-ORDINAL-ADJECTIVAL	synodal-russian	productive	72 gendered long-adjective cells; a genderless request is metadata-deficient	genderless request	ordinal adjective stem; class; grammatical gender	delegates to long adjective kernel	reusable paradigm or exact accent required for liturgical	Alypy Gamanovich grammar	§52	первый	missing gender	facade/kernel.rs	expanded_productive_classes_and_personal_pronouns_are_available	MissingMetadata
accent	vsyak-fixed-stem	synodal-accent:vsyak-fixed-stem	synodal-russian	productive-reviewed	all licensed short/long singular/plural determiner cells	dual and non-positive cells	stable identity; first stem vowel; acute; form/number scopes	fixed first stem vowel	exact cell precedes reusable paradigm	Alypy Gamanovich grammar	§48 всѧ́къ/всѧ́кїй paradigms	всѧ́къ / всѧ́кимъ	missing or overlapping scope	core/accent.rs; facade/resolver.rs	determiner_liturgical_output_uses_reviewed_accent_or_fails_typed	ContradictoryMetadata / OrthographicMetadataRequired
accent	vsyacheskii-fixed-stem	synodal-accent:vsyacheskii-fixed-stem	synodal-russian	productive-reviewed	all long positive singular/dual/plural determiner cells	short and non-positive cells	stable identity; first stem vowel; acute; long-form scope	fixed first stem vowel with independent -ск-/-ст- morphology	reusable paradigm	Alypy Gamanovich grammar	§45 всѧ́ческїй citation	всѧ́ческїй / всѧ́честѣмъ	missing or overlapping scope	core/accent.rs; facade/resolver.rs	determiner_liturgical_output_uses_reviewed_accent_or_fails_typed	ContradictoryMetadata / OrthographicMetadataRequired
accent	mudr-fixed-stem	synodal-accent:mudr-fixed-stem	synodal-russian	productive-reviewed	long positive singular adjective cells	other cells	stem vowel index 0; acute; scoped rule	fixed first stem vowel	one row applies across multiple cells	Alypy Gamanovich grammar	§57 мꙋ́дръ paradigm	мꙋ́дрый / мꙋ́драгѡ	plural outside reviewed scope	core/accent.rs; facade/resolver.rs	explicit_accent_paradigm_realizes_multiple_cells; registry_reusable_accent_paradigm_covers_non_exact_cells	OrthographicMetadataRequired
accent	mati-fixed-stem	synodal-accent:mati-fixed-stem	synodal-russian	productive-reviewed	all noun cases × singular/dual/plural	other lexemes	stable lexeme identity; stem vowel index 0; acute	fixed first stem vowel	exact cell precedes reusable paradigm	Alypy Gamanovich grammar	§43 complete ма́ти paradigm	ма́ти / ма́тєри / ма́терьми	overlapping or missing scope	core/accent.rs; facade/resolver.rs	alpy_43_registry_accent_paradigms_cover_complete_productive_tables; exact_noun_table_precedes_reusable_accent_and_productive_background	ContradictoryMetadata / OrthographicMetadataRequired
accent	imya-mobile	synodal-accent:imya-mobile	synodal-russian	productive-reviewed	all noun cases × singular/dual/plural	other lexemes	stable lexeme identity; case-and-number scopes; acute/grave; initial psili	cell-conditioned stem/ending placement; breathing before accent	exact cell precedes reusable paradigm	Alypy Gamanovich grammar	§43 complete и҆́мѧ paradigm	и҆́мѧ / и҆менꙋ̀ / и҆мена̀ / и҆ме́нъ	overlap; absent scope; combining-mark order	core/accent.rs; facade/resolver.rs	noun_case_scopes_are_disjoint_and_detect_overlap; alpy_43_registry_accent_paradigms_cover_complete_productive_tables	ContradictoryMetadata / OrthographicMetadataRequired
accent	nebo-mobile	synodal-accent:nebo-mobile	synodal-russian	productive-reviewed	all noun cases × singular/dual/plural	other lexemes	stable lexeme identity; case-and-number scopes; acute/grave	cell-conditioned stem/ending placement	exact cell precedes reusable paradigm	Alypy Gamanovich grammar	§43 complete не́бо paradigm	не́бо / небесѐ / небе́съ / небесѣ́хъ	overlap; absent scope	core/accent.rs; facade/resolver.rs	noun_case_scopes_are_disjoint_and_detect_overlap; alpy_43_registry_accent_paradigms_cover_complete_productive_tables	ContradictoryMetadata / OrthographicMetadataRequired
accent	caller-complete-paradigm	SYN-ACCENT-PARADIGM	synodal-russian	productive-api	every GrammarCell covered by exactly one source-supplied scope	missing or overlapping scopes; out-of-range vowel positions	stable ID; scoped stem/ending vowel placement; acute/grave/kamora; optional initial psili; Synodal accentual evidence	cell-conditioned stress followed by initial breathing and final-vowel environment	exact printed cell precedes reusable caller metadata	Alypy Gamanovich grammar	§3 and caller source citation	є҆́зеро / ра́бѡмъ	unknown lexical stress remains typed metadata, not an engine gap	core/accent.rs; facade/spec.rs; facade/resolver.rs	positional_realization_precedes_breathing_and_accent_for_arbitrary_lexemes; liturgical_specs_require_both_accent_and_positional_metadata	ContradictoryMetadata / OrthographicMetadataRequired
orthography	caller-positional-paradigm	SYN-POSITIONAL-PARADIGM	synodal-russian	productive-api	every GrammarCell covered by exactly one source-supplied scope	missing/overlapping scopes; incompatible initial or occurrence replacement	stable ID; complete cell scopes; explicit preserve/initial/i-before-vowel/wide-ending/specific-occurrence operations; Synodal orthographic evidence	explicit operations compose before breathing and accent	exact printed cell precedes reusable caller metadata	Alypy Gamanovich grammar; Bolshakov number-antistich study	Alypy §§2 and 36; Bolshakov 2022 pp. 251–267	є҆́зеро / фарисей : фарисєй / мужи : мужы / пришедша : пришедшѧ	Alypy permits choices and printed sources conflict; every operation is source-selectable rather than a universal default	core/orthography.rs; facade/spec.rs; facade/resolver.rs	scoped_positional_paradigm_preserves_semantics_and_case_distinctions; number_antistich_letter_pairs_are_all_source_selectable; exact_liturgical_override_precedes_reusable_positional_metadata	ContradictoryMetadata / OrthographicMetadataRequired
irregular	complete-verb-inventory	SYN-VERB-IRREGULAR-INVENTORY-ALYPY-81-104	synodal-russian	irregular-exact-complete	five closed archaic systems plus all 98 §104 source entries routed through exact cells, independent principal parts, or typed defects	explicitly impossible cells; sparse or question-marked evidence remains evidence-incomplete	stable identity; source-order inventory; independent subsystem principal parts; typed defect selector	ordered dual and imperative variants; suppletion and stem alternation	exact form or explicit caller accent required for liturgical	Alypy Gamanovich grammar	§§81, 103–104	єсмь / да́мъ / ꙗмъ / вѣмъ / имамъ	exact survivors precede typed historical or evidential defects	facade/resolver.rs; facade/registry.rs	alpy_103_archaic_verbs_have_closed_exact_present_and_imperative_tables; archaic_principal_parts_cover_every_source_licensed_participle_system; alpy_104_irregular_inventory_is_public_exhaustive_and_source_ordered	HistoricallyInvalidCell / EvidenceIncompleteCell
irregular	syn-partial-noun	SYN-REGISTRY-IRREGULAR-OVERRIDE	synodal-russian	partial-irregular-with-regular-background	dative singular and reviewed plural overrides; other cells use explicit first-hard-m class	none	stable identity; exact overrides; explicitly classed regular background	сынов- oblique stem in reviewed cells	exact override before reusable/productive accent	Alypy Gamanovich grammar	§37	сынови / сынове / сыновъ	genitive dual regular fallback	facade/resolver.rs	partial_registered_irregular_uses_regular_background_only_outside_override	UnsupportedCell only without exact or licensed background
